0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:23 +0800] "GET /Practical_Training/dwr/engine.js HTTP/1.1" 200 45814
0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:23 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:23 +0800] "GET /Practical_Training/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:23 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:49 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11051
0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:49 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:49 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:49 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11051
0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:49 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:49 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:55 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11051
0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:55 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:55 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:45:58 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11051
0:0:0:0:0:0:0:1 - - [17/May/2018:13:45:58 +0800] "GET /Practical_Training/dwr/engine.js HTTP/1.1" 200 45814
0:0:0:0:0:0:0:1 - - [17/May/2018:13:45:58 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:45:58 +0800] "GET /Practical_Training/dwr/util.js HTTP/1.1" 304 -
